Harnessed Flame	BP01-166	Neutral	Follower	3	3/2	Demon	SR	Main Phase: [Pay 1pp & Put this follower and an allied Harnessed Glass into your graveyard]: Search your deck for a Flame and Glass and summon it.
Harnessed Glass	BP01-167	Neutral	Follower	3	2/3	Demon	SR	Fanfare: Draw a card. Put a card from your hand on the bottom of your deck.
Demonic Strike	BP01-168	Neutral	Spell	3	-	Demon	SR	Choose an enemy leader or enemy follower. Deal 3 damage to it.
Execution	BP01-169	Neutral	Spell	4	-	Demon	SR	[Quick]  Choose an enemy card in play. Destroy it.
Trail of Light	BP01-170	Neutral	Spell	2	-	Splendor	SR	When this card is discarded from your hand, draw a card.  ----------  Draw a card.
Goblin	BP01-171	Neutral	Follower	1	2/2	Goblin	BR	Evolve (4): Evolve this follower.
Goblin (Evolved)	BP01-172	Neutral	Follower / Evolve	-	4/4	Goblin	BR	-
Fighter	BP01-173	Neutral	Follower	2	2/3	Mercenary	BR	-
Goliath	BP01-174	Neutral	Follower	3	3/4	Giant	BR	Evolve (2): Evolve this follower.
Goliath (Evolved)	BP01-175	Neutral	Evolved Follower	-	5/6	Giant	BR	-
Angelic Sword Maiden	BP01-176	Neutral	Follower	5	4/6	Angel	BR	[Ward]
Healing Angel	BP01-177	Neutral	Follower	3	2/4	Angel	BR	Evolve (1): Evolve this follower.  Fanfare: Add 1 to your leader's defense.
Healing Angel (Evolved)	BP01-178	Neutral	Follower / Evolve	-	3/5	Angel	BR	Evolve: Add 2 to your leader's defense.
Angelic Snipe	BP01-179	Neutral	Spell	1	-	Angel	BR	[Quick]  Choose an enemy follower. Deal 2 damage to it.
Angelic Barrage	BP01-180	Neutral	Spell	1	-	Angel	BR	[Quick]  Deal 1 damage to all enemy followers.
